size,ratio,name,keyword,common,label
480,0.020833333333333332,False,False,False,nominal
480,0.022916666666666665,True,False,False,nominal
480,0.00625,False,True,False,ordinal
480,0.010416666666666666,False,False,False,ordinal
480,0.00625,False,False,False,nominal
480,0.020833333333333332,False,False,True,nominal
480,0.004166666666666667,False,False,False,nominal
480,0.004166666666666667,False,False,False,ordinal
480,0.004166666666666667,False,False,False,nominal
480,0.00625,False,False,False,ordinal
2410,0.9564315352697096,True,False,True,nominal
2410,0.012863070539419087,False,False,True,nominal
558,0.985663082437276,True,False,True,nominal
558,0.6881720430107527,True,False,True,nominal
558,0.03225806451612903,False,False,False,nominal
205,0.07317073170731707,False,False,True,nominal
205,0.00975609756097561,True,False,False,nominal
205,0.00975609756097561,False,False,False,nominal
205,0.014634146341463415,False,False,False,nominal
205,0.024390243902439025,False,False,False,nominal
205,0.00975609756097561,False,False,False,nominal
205,0.00975609756097561,True,False,False,nominal
205,0.02926829268292683,True,False,False,nominal
205,0.03414634146341464,False,False,False,nominal
205,0.01951219512195122,False,False,False,nominal
53940,9.269558769002595e-05,False,True,True,ordinal
53940,0.00012977382276603634,False,False,False,ordinal
53940,0.00012977382276603634,False,False,False,ordinal
18207,0.9442522106881969,True,False,False,nominal
18207,1.0,False,False,False,nominal
18207,0.002691272587466359,False,False,True,nominal
18207,0.00027461965178228156,False,False,True,nominal
18207,0.03575547866205306,False,False,True,nominal
18207,0.03729334871203383,False,False,True,nominal
18207,0.00010984786071291261,False,False,False,nominal
18207,0.00027461965178228156,False,True,True,ordinal
18207,0.00032954358213873783,True,False,False,nominal
18207,0.0005492393035645631,False,False,False,nominal
18207,0.00021969572142582522,False,False,True,nominal
18207,0.0187290602515516,False,False,True,nominal
18207,0.00032954358213873783,False,False,False,nominal
18207,0.005107925523150436,False,False,False,ordinal
18207,0.005107925523150436,False,False,False,ordinal
18207,0.005107925523150436,False,False,False,ordinal
18207,0.0057670126874279125,False,False,False,ordinal
18207,0.0056022408963585435,False,False,False,ordinal
18207,0.0056022408963585435,False,False,False,ordinal
18207,0.0056022408963585435,False,False,False,ordinal
18207,0.0057670126874279125,False,False,False,ordinal
18207,0.005547316966002087,False,False,False,ordinal
18207,0.005547316966002087,False,False,False,ordinal
18207,0.005547316966002087,False,False,False,ordinal
18207,0.0054923930356456305,False,False,False,ordinal
18207,0.00505300159279398,False,False,False,ordinal
18207,0.00505300159279398,False,False,False,ordinal
18207,0.00505300159279398,False,False,False,ordinal
2580,0.12674418604651164,False,False,True,nominal
2580,0.9325581395348838,False,False,False,nominal
